"Title","Gross Domestic Product: q-on-q4 growth rate CVM SA %"
"CDID","IHYR"
"Source dataset ID","QNA"
"PreUnit",""
"Unit","%"
"Release date","30-06-2026"
"Next release","13 August 2026"
"Important notes",
"1979 Q4","2.8"
"1980 Q1","2.1"
"1980 Q2","-4.1"
"1980 Q3","-2.0"
"1980 Q4","-4.0"
"1981 Q1","-3.1"
"1981 Q2","-0.9"
"1981 Q3","0.4"
"1981 Q4","1.5"
"1982 Q1","1.8"
"1982 Q2","2.5"
"1982 Q3","1.5"
"1982 Q4","2.1"
"1983 Q1","3.9"
"1983 Q2","3.6"
"1983 Q3","4.6"
"1983 Q4","4.6"
"1984 Q1","3.5"
"1984 Q2","1.8"
"1984 Q3","1.3"
"1984 Q4","2.4"
"1985 Q1","2.5"
"1985 Q2","5.8"
"1985 Q3","5.0"
"1985 Q4","3.2"
"1986 Q1","3.2"
"1986 Q2","2.0"
"1986 Q3","2.7"
"1986 Q4","4.6"
"1987 Q1","4.2"
"1987 Q2","4.8"
"1987 Q3","6.8"
"1987 Q4","5.9"
"1988 Q1","6.9"
"1988 Q2","5.9"
"1988 Q3","4.6"
"1988 Q4","4.3"
"1989 Q1","3.1"
"1989 Q2","3.2"
"1989 Q3","2.1"
"1989 Q4","1.3"
"1990 Q1","1.3"
"1990 Q2","1.3"
"1990 Q3","0.1"
"1990 Q4","-0.4"
"1991 Q1","-1.4"
"1991 Q2","-2.2"
"1991 Q3","-1.3"
"1991 Q4","-0.7"
"1992 Q1","-0.2"
"1992 Q2","-0.2"
"1992 Q3","0.4"
"1992 Q4","1.1"
"1993 Q1","1.6"
"1993 Q2","2.2"
"1993 Q3","2.7"
"1993 Q4","2.6"
"1994 Q1","3.1"
"1994 Q2","3.6"
"1994 Q3","3.7"
"1994 Q4","3.4"
"1995 Q1","2.9"
"1995 Q2","2.2"
"1995 Q3","2.3"
"1995 Q4","2.2"
"1996 Q1","2.4"
"1996 Q2","2.5"
"1996 Q3","2.3"
"1996 Q4","3.3"
"1997 Q1","4.2"
"1997 Q2","5.1"
"1997 Q3","5.1"
"1997 Q4","5.2"
"1998 Q1","4.3"
"1998 Q2","3.7"
"1998 Q3","2.9"
"1998 Q4","2.1"
"1999 Q1","2.1"
"1999 Q2","1.9"
"1999 Q3","3.4"
"1999 Q4","4.4"
"2000 Q1","5.1"
"2000 Q2","5.4"
"2000 Q3","4.3"
"2000 Q4","3.3"
"2001 Q1","2.8"
"2001 Q2","2.5"
"2001 Q3","2.3"
"2001 Q4","2.0"
"2002 Q1","1.5"
"2002 Q2","1.6"
"2002 Q3","1.7"
"2002 Q4","2.1"
"2003 Q1","2.6"
"2003 Q2","3.1"
"2003 Q3","3.5"
"2003 Q4","3.6"
"2004 Q1","3.1"
"2004 Q2","2.6"
"2004 Q3","2.0"
"2004 Q4","1.6"
"2005 Q1","2.1"
"2005 Q2","2.4"
"2005 Q3","3.0"
"2005 Q4","3.6"
"2006 Q1","3.2"
"2006 Q2","2.6"
"2006 Q3","1.8"
"2006 Q4","1.1"
"2007 Q1","1.9"
"2007 Q2","2.6"
"2007 Q3","3.4"
"2007 Q4","3.9"
"2008 Q1","3.1"
"2008 Q2","1.6"
"2008 Q3","-1.0"
"2008 Q4","-3.9"
"2009 Q1","-6.2"
"2009 Q2","-5.9"
"2009 Q3","-4.3"
"2009 Q4","-1.9"
"2010 Q1","1.0"
"2010 Q2","2.5"
"2010 Q3","2.9"
"2010 Q4","2.6"
"2011 Q1","2.0"
"2011 Q2","0.8"
"2011 Q3","0.3"
"2011 Q4","0.4"
"2012 Q1","1.2"
"2012 Q2","1.1"
"2012 Q3","2.0"
"2012 Q4","1.8"
"2013 Q1","1.1"
"2013 Q2","1.8"
"2013 Q3","1.6"
"2013 Q4","2.4"
"2014 Q1","2.9"
"2014 Q2","3.2"
"2014 Q3","3.3"
"2014 Q4","3.3"
"2015 Q1","2.7"
"2015 Q2","2.3"
"2015 Q3","1.8"
"2015 Q4","1.8"
"2016 Q1","2.0"
"2016 Q2","2.2"
"2016 Q3","2.3"
"2016 Q4","2.3"
"2017 Q1","2.8"
"2017 Q2","2.9"
"2017 Q3","3.1"
"2017 Q4","3.3"
"2018 Q1","2.4"
"2018 Q2","1.7"
"2018 Q3","1.4"
"2018 Q4","0.7"
"2019 Q1","1.2"
"2019 Q2","1.2"
"2019 Q3","1.4"
"2019 Q4","1.3"
"2020 Q1","-2.0"
"2020 Q2","-21.7"
"2020 Q3","-8.9"
"2020 Q4","-7.6"
"2021 Q1","-6.1"
"2021 Q2","25.5"
"2021 Q3","9.1"
"2021 Q4","9.1"
"2022 Q1","11.4"
"2022 Q2","4.7"
"2022 Q3","3.1"
"2022 Q4","1.9"
"2023 Q1","1.0"
"2023 Q2","0.5"
"2023 Q3","0.1"
"2023 Q4","-0.5"
"2024 Q1","0.2"
"2024 Q2","0.8"
"2024 Q3","1.2"
"2024 Q4","2.0"
"2025 Q1","1.8"
"2025 Q2","1.3"
"2025 Q3","1.2"
"2025 Q4","0.9"
"2026 Q1","0.9"
